Products,Reactant,Sentence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,2-dimethoxybenzene","1,2-benzenediol",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
propylene,propane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acetone cyanohydrin,acetone,"acetone cyanohydrin (ach) is an organic compound used in the production of methyl methacrylate, the monomer of the transparent plastic polymethyl methacrylate (pmma), also known as acrylic.","== preparation ==
the compound is generated as part of the acetone cyanohydrin route to methyl methacrylate.","in the laboratory, this compound may be prepared by reacting sodium cyanide with acetone, followed by acidification:

considering the high toxicity of acetone cyanohydrin, a safer lab scale production has been developed using microreactor technology.",crushing the tubers releases these compounds and produces acetone cyanohydrin.,"== safety ==
acetone cyanohydrin is classified as an extremely hazardous substance in the us emergency planning and community right-to-know act.","the principal hazards of acetone cyanohydrin arise from its ready decomposition on contact with water, which releases highly toxic hydrogen cyanide.","== references ==


== external links ==
sids initial assessment report for acetone cyanohydrin from the organisation for economic co-operation and development (oecd)
cdc - niosh pocket guide to chemical hazards - acetone cyanohydrin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
methanol,carbon dioxide,"today, industrial methanol is produced in a catalytic process directly from carbon monoxide, carbon dioxide, and hydrogen.","but in only a few days, atmospheric methanol is oxidized by sunlight to produce carbon dioxide and water.","methanol burns in oxygen, including open air, forming carbon dioxide and water:
2 ch3oh + 3 o2 ??? 2 co2 + 4 h2o
one problem with high concentrations of methanol in fuel is that alcohols corrode some metals, particularly aluminium.","one way of dealing with the excess hydrogen is to inject carbon dioxide into the methanol synthesis reactor, where it, too, reacts to form methanol according to the equation:
co2 + 3 h2 ??? ch3oh + h2o
in terms of mechanism, the process occurs via initial conversion of co into co2, which is then hydrogenated:
co2 + 3 h2 ??? ch3oh + h2o
where the h2o byproduct is recycled via the water-gas shift reaction
co + h2o ??? co2 + h2,
this gives an overall reaction, which is the same as listed above.","in 1923, the german chemists alwin mittasch and mathias pier, working for badische-anilin & soda-fabrik(basf), developed a means to convert synthesis gas (a mixture of carbon monoxide, carbon dioxide, and hydrogen) into methanol.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sulfur dichloride,sulfur,sulfur dichloride is the chemical compound with the formula scl2.,"separation of scl2 from s2cl2 is possible via distillation with pcl3 to form an azeotrope of 99% purity, however sulfur dichloride loses chlorine slowly at room temperature and reverts to disulfur dichloride.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butyric acid,butyaldehyde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maleic anhydride,benzene,traditionally maleic anhydride was produced by the oxidation of benzene or other aromatic compounds.,"in addition, in the production of maleic anhydride (4 c-atoms) a third of the original carbon atoms is lost as carbon dioxide when using benzene (6 carbon atoms).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
methamidophos,sodium methyl phosphoroamidothioate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dialifor,chlorine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dichlorprop,2-chloropropionic acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
benzyl benzoate,sodium benzoate,"== production ==
benzyl benzoate is produced industrially by the reaction of sodium benzoate with benzyl alcohol in the presence of a base, or by transesterification of methyl benzoate and benzyl alcohol.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
isosafrole,safrole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
catechol,phenol,"catechol is produced industrially by the hydroxylation of phenol using hydrogen peroxide:
c6h5oh + h2o2 ??? c6h4(oh)2 + h2o
previously, it was produced by hydrolysis of 2-substituted phenols, especially 2-chlorophenol, with hot aqueous solutions containing alkali metal hydroxides.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,2,4-trichlorobenzene",benzene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tetraethyllead,chloroethane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tin tetrachloride,tin,"tin(iv) chloride, also known as tin tetrachloride or stannic chloride is a inorganic compound with the formula sncl4.",several forms of hydrated tin tetrachloride are known.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tributylphosphate,n-butanol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
allyl acetate,propene,"== preparation ==
allyl acetate is produced industrially by the gas phase reaction of propene in the presence of acetic acid using a palladium catalyst:
c3h6 + ch3cooh + ?? o2 ??? ch2=chch2ococh3 + h2o
this method is advantageous because propene is inexpe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-chloropropionic acid,l-alanine,"== preparation ==
enantiomerically pure (s)-2-chloropropionic acid is prepared from l-alanine via diazotization in hydrochloric acid.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
furfurylamine,furfural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ethyl diazoacetate,glycine ethyl ester hydrochloride,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
methyl isocyanate,carbonyl dichloride,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hypophosphorous acid,p4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
